Director,Movie IDs
John Lasseter,"[862, 9487, 863, 13925, 920, 49013, 13927, 13926, 13928, 13934]"
Joe Johnston,"[8844, 15139, 9354, 10249, 13466, 331, 2023, 7978, 1771, 256347]"
Howard Deutch,"[15602, 41579, 15143, 27472, 11522, 10393, 2617, 25269, 2122, 13596, 218931]"
Forest Whitaker,"[31357, 9715, 13969, 26479]"
Charles Shyer,"[11862, 10879, 11215, 19076, 11846, 8849, 47874]"
Michael Mann,"[949, 9361, 9008, 11454, 8489, 11524, 26198, 1538, 82, 11322, 57537, 201088]"
Sydney Pollack,"[11860, 37233, 606, 11963, 12618, 28145, 11943, 10236, 9576, 19429, 33564, 11145, 65012, 28415, 45522, 22189, 179, 27453, 42217, 32068, 51054]"
Peter Hewitt,"[45325, 9449, 49922, 1649, 8920, 14113, 24271, 134375, 21605, 289239, 70859, 5764]"
Peter Hyams,"[9091, 8831, 11015, 4437, 15698, 9946, 11851, 23939, 10540, 11370, 11935, 12633, 31597, 10077, 25137, 174162, 238589, 84209]"
Martin Campbell,"[710, 10447, 9342, 11678, 41952, 9839, 52660, 1656, 36557, 41787, 12201, 44912]"
Rob Reiner,"[9087, 31586, 2493, 235, 11031, 639, 31908, 881, 12220, 1700, 17813, 8992, 2800, 7350, 43949, 101731, 109404, 253235, 358895]"
Mel Brooks,"[12110, 8005, 3034, 30197, 10156, 957, 24918, 11072, 6524, 10970, 12535]"
Simon Wells,"[21032, 10380, 9837, 18890, 2135, 50321]"
Oliver Stone,"[10858, 241, 31642, 792, 10537, 10155, 9563, 820, 10673, 2604, 10132, 6106, 42149, 25783, 1966, 1852, 10523, 33909, 47426, 82525, 29854, 329227, 189215, 302401, 461805]"
Renny Harlin,"[1408, 9350, 11412, 1573, 10131, 8914, 103960, 10477, 9548, 16617, 11026, 48309, 9954, 13252, 17134, 50601, 169219, 188207, 270774]"
Martin Scorsese,"[524, 103, 10436, 769, 1578, 1598, 9746, 11051, 11873, 8649, 9686, 22784, 13963, 3131, 262, 10843, 203, 53198, 16153, 42694, 12637, 2567, 19082, 55676, 1422, 7944, 11324, 91459, 54793, 65673, 33470, 421510, 75964, 44826, 106646, 48714, 48717, 274906, 5804, 68730, 342381]"
Ang Lee,"[4584, 10451, 25296, 68924, 22267, 146, 1927, 9261, 142, 4588, 26320, 87827, 30091, 293767]"
Allison Anders,"[5, 32325, 58985, 142132, 102933, 47866, 37497, 198214, 185564]"
Alexandre Rockwell,"[5, 44535, 52936, 72843, 43656]"
Robert Rodriguez,"[5, 755, 8068, 9276, 9367, 10054, 9488, 12279, 1428, 187, 14199, 1992, 25132, 26682, 23631, 56288, 106747, 189]"
Quentin Tarantino,"[5, 680, 500, 184, 24, 393, 1991, 16869, 68718, 273248, 10614]"
Steve Oedekerk,"[9273, 11891, 11676, 9907, 14962]"
Joseph Ruben,"[11517, 10278, 24099, 31863, 25155, 9272, 7442, 10145, 21955, 199591, 199591, 31086, 433356]"
Barry Sonnenfeld,"[8012, 2758, 9024, 607, 2907, 8487, 2185, 608, 9530, 41154, 322240]"
Jon Amiel,"[1710, 9414, 1844, 1049, 41927, 9341, 120637, 30431, 292396]"
Richard Donner,"[9691, 9359, 794, 8834, 944, 941, 942, 943, 9340, 1924, 9647, 526, 23805, 39503, 9562, 20763, 2207, 77925]"
Victor Salva,"[12665, 8922, 11351, 13689, 86759, 25756, 85564, 257093]"
Mike Figgis,"[451, 49805, 2625, 12616, 15059, 125520, 36234, 25497, 44414, 47232, 12767, 11060, 79591, 191476]"
Oliver Parker,"[16420, 24137, 9026, 10748, 49767, 18820, 23488, 37565, 58233, 332721]"
Lesli Linka Glatter,"[9263, 32144]"
Roger Michell,"[17015, 509, 1537, 59210, 9391, 13771, 38357, 83036, 87504, 209350, 310442, 413998]"
Jean-Pierre Jeunet,"[902, 892, 8078, 194, 2841, 27936, 157841, 47860, 60813]"
Marc Caro,"[902, 892, 15125, 60813]"
Zhang Yimou,"[37557, 31439, 10404, 42006, 36210, 45861, 12276, 79, 9550, 41821, 38143, 14226, 1494, 36108, 48336, 44555, 76758, 259943, 50542, 311324]"
John N. Smith,"[9909, 32119, 37272, 125874]"
Terry Gilliam,"[63, 762, 68, 1878, 36819, 177, 14506, 11834, 4543, 4442, 11559, 8054, 39005, 157834]"
Jean-Jacques Annaud,"[78802, 978, 192, 62204, 2383, 853, 10995, 42238, 1997, 77221, 10792, 77221, 309302]"
Chris Noonan,"[9598, 13967]"
Christopher Hampton,"[47018, 47199, 34036]"
Tim Robbins,"[687, 10608, 32274]"
Stephen Low,"[139405, 45929, 15089]"
Andy Tennant,"[33689, 1968, 9454, 1439, 11529, 8488, 8676, 27573, 19754, 406992]"
Amy Heckerling,"[9603, 11418, 13342, 10642, 9494, 16806, 9356, 15019, 73935]"
Darrell James Roodt,"[34615, 52855, 35936, 65137, 6934, 60119, 75033]"
Richard Loncraine,"[31174, 53185, 73116, 52083, 11823, 36730, 9754, 26820, 45371, 120212, 286521, 331214, 36464]"
Albert Hughes,"[11443, 9516, 24587, 768, 20504]"
Allen Hughes,"[11443, 9516, 24587, 768, 12572, 20504, 98357]"
Michael Hoffman,"[35196, 7300, 10210, 25562, 31083, 17187, 62327, 80919, 29907, 36811, 97434, 239571]"
Paul W.S. Anderson,"[9312, 45549, 8413, 9425, 1576, 395, 10483, 35791, 52451, 71679, 76649, 173897]"
Gus Van Sant,"[577, 34444, 468, 489, 11252, 476, 711, 1956, 1807, 1665, 2266, 1990, 383, 10139, 36108, 47760, 133694, 273085, 291351]"
Jocelyn Moorhouse,"[11861, 66588, 14904, 298382]"
David Fincher,"[807, 8077, 2649, 550, 4547, 1949, 4922, 37799, 65754, 210577]"
Mike Gabriel,"[10530, 11135, 245003]"
Eric Goldberg,"[10530, 49948]"
Patricia Rozema,"[8391, 10399, 8359, 334538]"
Bryan Singer,"[629, 9445, 77064, 36657, 36658, 1452, 2253, 81005, 127585, 246655]"
Richard W. Munchkin,"[117164, 91548, 29801]"
Woody Allen,"[11448, 11382, 10440, 9716, 11561, 11302, 703, 696, 2639, 11485, 10849, 11337, 9466, 30890, 11562, 9684, 10569, 11624, 15867, 11686, 8217, 22478, 22477, 19200, 9686, 2779, 28384, 9689, 8288, 21449, 10739, 5143, 11030, 12762, 9688, 116, 512, 10462, 4787, 5038, 19265, 38031, 59436, 81836, 160588, 229297, 282984, 339397, 418772]"
Gianni Amelio,"[49133, 58098, 47714, 42420, 24189, 85547, 209413, 60067]"
Holly Goldberg Sloan,"[26441, 58669]"
Ulu Grosbard,"[97406, 30943, 52744, 32077, 118872, 23397, 91607]"
Robert Tinnell,"[124057, 19568]"
Jodie Foster,"[9089, 11521, 50780, 303858]"
Michael Radford,"[11010, 2923, 9314, 23941, 11162, 13195, 79591, 60041, 268171]"
Robert Lepage,"[99040, 139445, 38987, 22618]"
Frank Oz,"[11359, 10806, 11639, 10776, 11353, 11899, 10276, 11371, 10141, 10407, 9890, 2196]"
John Schlesinger,"[17182, 32513, 32076, 3116, 26578, 2990, 1831, 118098, 10518, 26535, 47871, 24134, 91390, 45938, 5122, 21666, 3469, 33765, 139244, 120729]"
Stephen Herek,"[2054, 10057, 11674, 10414, 9713, 15413, 3980, 1648, 12508, 16643, 13498, 14849, 16931, 54557, 15671, 40080, 331588, 426670]"
Paris Barclay,[10607]
Bill Bennett,"[19760, 37517, 6382, 71204, 45017]"
Jason Bloom,"[9536, 25723]"
Farhad Mann,"[11525, 37434, 445126, 401687]"
James Foley,"[40628, 10543, 6346, 9504, 9455, 26827, 13715, 25501, 10743, 7183, 38702, 341174]"
Josiane Balasko,"[4482, 15460, 237799]"
F. Gary Gray,"[10634, 9400, 9631, 8409, 9654, 4551, 22803, 277216, 337339]"
Andrew Sipes,[11859]
Noah Baumbach,"[28387, 53765, 10707, 44389, 13998, 27583, 121986, 309245, 252512, 355254, 396398]"
Claude Lelouch,"[48750, 42726, 37335, 50350, 14949, 36108, 48336, 139851, 34280, 76329, 33489, 38198, 45777, 352025, 76350, 76348, 99313, 36140, 53456]"
Michael Goldenberg,[20927]
Steve Miner,"[36929, 9725, 9728, 11675, 11415, 12278, 9825, 10326, 11342, 13503, 23438, 10486, 13613, 15616]"
Christian Duguay,"[9102, 18355, 11398, 15074, 12629, 11944, 17919, 14643, 24331, 33305, 24475, 261985, 103675, 334304, 398924]"
Susanne Ofteringer,[124626]
Sean Penn,"[27526, 5955, 1926, 25598, 5915]"
Brian Gibson,"[9623, 15765, 11133, 1618, 26803]"
Jafar Panahi,"[46785, 13898, 40427, 13209, 13209, 40882, 83552, 160171, 320006]"
Gary Fleder,"[400, 9437, 12103, 4965, 11329, 14325, 204082]"
Marleen Gorris,"[880, 38904, 52654, 4592, 96529]"
Tim Reid,[146599]
Henry Jaglom,"[188588, 188589, 161795, 120694, 142052, 53898, 144231, 214446, 214447, 108322, 41811]"
Philip Haas,"[8447, 47724, 39327, 31040, 44546, 125958]"
Ridley Scott,"[10534, 78, 348, 4421, 11976, 31650, 1541, 98, 9740, 4105, 855, 19067, 7270, 1492, 1495, 9726, 4982, 12113, 20662, 70981, 109091, 147441, 286217, 126889]"
Ken Kwapis,"[17414, 17894, 21185, 36536, 17956, 9779, 2959, 10184, 78698, 63334, 232572]"
Penelope Spheeris,"[13997, 11041, 10897, 12538, 8872, 21137, 36724, 22323, 28054, 64972, 26574, 103601, 44848, 82153, 77585, 180363, 77261, 70207]"
John Badham,"[2086, 4954, 9409, 45928, 14040, 1727, 2605, 10859, 11009, 31695, 33521, 860, 11384, 10498, 6341, 42243, 95578, 96382, 16331]"
John Duigan,"[61548, 12519, 46338, 35796, 44857, 19958, 32767, 21828, 18804, 105676, 32577]"
Stephen Frears,"[9095, 18129, 11844, 859, 10699, 1363, 243, 27857, 48834, 11240, 3472, 42013, 19621, 12664, 10773, 1165, 22215, 31067, 43699, 34991, 38961, 59517, 84305, 196355, 205220, 271736, 78329, 315664]"
Wes Craven,"[12158, 11596, 377, 4232, 4233, 33278, 17918, 26149, 4234, 11503, 12521, 15516, 18477, 12262, 33016, 13122, 10012, 11460, 2266, 43931, 41446, 81009, 37938]"
Ted Demme,"[9283, 10872, 21132, 6522, 4133, 38868, 25925, 209802, 26797]"
John Woo,"[9208, 2019, 10835, 754, 11782, 955, 12100, 47423, 9620, 38099, 13514, 11471, 18305, 11909, 39083, 24553, 12289, 15384, 44092, 38185, 264264, 295273, 39084, 69161]"
Kenneth Branagh,"[40154, 3036, 11971, 10705, 10549, 11498, 11790, 51333, 4520, 19103, 10195, 137094, 37028, 150689]"
Mathieu Kassovitz,"[406, 47507, 60670, 4970, 34068, 9381, 76609]"
Nick Broomfield,"[63076, 13907, 30586, 37088, 34328, 97044, 63054, 14111, 289575, 127546, 42107, 63427, 117034, 66638, 448449]"
Harold Becker,"[11062, 2246, 8838, 94440, 12150, 11456, 10627, 33831, 30069, 75808]"
Wes Anderson,"[13685, 11545, 9428, 421, 4538, 10315, 83666, 6418, 120467, 428074]"
Nick Castle,"[47475, 11008, 24086, 16560, 48313, 12139, 11884, 50220, 103014]"
John Dahl,"[2045, 10427, 10220, 31583, 10866, 25284, 13922, 8141]"
Dennis Dugan,"[9614, 9622, 9032, 11077, 10878, 11078, 32450, 9957, 3563, 10661, 38365, 50546, 71880, 109418]"
Clint Eastwood,"[688, 9559, 33, 66, 8197, 8879, 10015, 10354, 11901, 10747, 5551, 21866, 24679, 15393, 17689, 10650, 9573, 10724, 37917, 6723, 28761, 322, 40374, 70, 20187, 3683, 1251, 3580, 13223, 22954, 44603, 88794, 209451, 190859, 363676]"
Doris Dörrie,"[11907, 29507, 6461, 2049, 252407, 10146, 42293, 8556, 377852]"
Brian Henson,"[10874, 10437, 13905]"
Robert Leacock,[89333]
James Bruce,[96357]
Mel Gibson,"[197, 10502, 615, 1579, 324786]"
Stanley Tong,"[33542, 11134, 38955, 9404, 9438, 34856, 11653, 383785]"
Barbet Schroeder,"[43566, 6071, 9458, 9605, 10937, 38718, 44321, 11892, 21323, 36665, 46978, 22521, 54194, 63327]"
Mort Ransen,[71754]
Étienne Chatiliez,"[43612, 4271, 6444, 2029, 40225, 20072]"
Jon Blair,[51352]
Benjamin Ross,"[16934, 50008, 53033, 72094]"
Eric Schaeffer,"[10324, 37567, 97805, 96238, 83738, 263105]"
Andrew Davis,"[78406, 5503, 12123, 8845, 1965, 20721, 9395, 31606, 9884, 8326, 4643, 4288]"
Charles T. Kanganis,"[55731, 18885, 14806, 41586]"
Reginald Hudlin,"[11066, 20759, 16094, 16888, 12771]"
Wong Kar-wai,"[11104, 40751, 11220, 843, 18329, 18311, 844, 24163, 1989, 36108, 44865, 38189, 145059, 39850]"
Giuseppe Tornatore,"[37975, 11216, 10376, 10867, 19223, 45799, 10886, 25846, 152742, 315880]"
David O. Russell,"[2074, 17600, 6415, 1599, 45317, 82693, 168672, 316002, 274479]"
Peter MacDonald,"[27793, 1370, 12251, 3513]"
Moufida Tlatli,"[44284, 265793]"
Michel Negroponte,"[290157, 25366]"
Bryan Gordon,"[110972, 16270]"
Rebecca Miller,"[32622, 32625, 17113, 4475, 312669]"
Michael Lindsay-Hogg,"[73067, 167738, 88818, 20556, 59390, 40373, 131172, 18944, 82942]"
William Friedkin,"[11863, 19819, 1051, 9552, 32043, 10479, 27958, 10632, 9846, 34377, 38985, 20545, 12526, 99749, 24429, 12219, 73567, 42648, 121052]"
Ángel Muñiz,[55475]
Craig Baldwin,"[124636, 102039, 19459]"
David S. Ward,"[9101, 18133, 9942, 25297, 10804, 11067]"
Mark Rappaport,"[123360, 128042, 148503, 288094, 124101, 135787]"
Dirk Shafer,[5757]
Terence Davies,"[39428, 25520, 41799, 49956, 29785, 51994, 277713, 368942]"
Sandip Ray,[124639]
Jon Avnet,"[9302, 19855, 1633, 9407, 31010, 3489, 13389]"
Mike Nichols,"[11000, 10395, 37247, 9440, 396, 3525, 13818, 36492, 10416, 22414, 10364, 19382, 12502, 42470, 11364, 26976, 2288, 70259, 24019, 6538, 58792]"
Jakov Sedlar,[249882]
Edward Burns,"[16388, 11363, 93350, 31016, 26225, 14963, 20065, 72766, 127916, 43938, 34167]"
Michael Bay,"[9737, 9802, 95, 676, 8961, 1635, 1858, 8373, 38356, 134374, 91314, 300671, 335988]"
Christopher Cain,"[30765, 11231, 9054, 11967, 10081, 64945, 22627, 14877, 58936, 154276, 86543]"
Scott Kalvert,"[10474, 13201]"
Mike Newell,"[22279, 712, 26561, 9366, 12596, 74340, 39176, 33221, 40913, 11820, 674, 6639, 9543, 121674, 4199, 47158]"
Hal Hartley,"[30157, 46986, 37291, 37410, 38545, 29135, 47802, 23522, 94666, 33102, 24200, 283536, 106134]"
Ron Howard,"[568, 12280, 3595, 2619, 847, 13698, 10328, 14742, 11374, 2924, 11259, 1552, 8871, 453, 19731, 12146, 921, 591, 11499, 13448, 44564, 96721, 205775, 217925, 391698, 207932]"
Michael Caton-Jones,"[11780, 4824, 32261, 13536, 8092, 11821, 12651, 3093, 8588, 139777]"
Abel Ferrara,"[34996, 4722, 49299, 21612, 9558, 21430, 12143, 25690, 22171, 35888, 13553, 64942, 50318, 120529, 18680, 49110, 209802, 86820, 197696, 47212, 191476, 283700]"
Joel Schumacher,"[414, 10731, 1645, 415, 11557, 8224, 37094, 31582, 9079, 1551, 10687, 1547, 12472, 31674, 3132, 1817, 10629, 27679, 9833, 3594, 30685, 70578, 40720]"
Luis Buñuel,"[649, 35206, 36245, 5781, 4593, 4497, 29264, 54979, 626, 5729, 91, 800, 5558, 35031, 43344, 35124, 37628, 36265, 35838, 44655, 43338, 35030, 42502, 38811, 114354, 44804]"
John Boorman,"[1873, 11586, 11532, 16885, 10669, 11527, 31681, 32054, 2575, 48864, 4923, 26039, 16635, 48336, 10097, 77333]"
Paul Auster,"[5894, 10149, 42848, 18848]"
Wayne Wang,"[5894, 10149, 19931, 30265, 21349, 32590, 7303, 98984, 17880, 17379, 14272, 58882, 135418, 78691, 52050]"
Michael Moore,"[1775, 1774, 1779, 1430, 1777, 2359, 13516, 22074, 352208, 421851]"
Brad Silberling,"[8839, 795, 31005, 11774, 2357, 18162]"
Spike Lee,"[20649, 34152, 61752, 49471, 9469, 10279, 1883, 27995, 36739, 925, 41823, 1713, 23618, 24664, 26580, 1429, 20912, 388, 24553, 58923, 23676, 12412, 48336, 24487, 96451, 30599, 84328, 127509, 31715, 87516, 210041, 287299, 278316, 340275, 373451, 295891]"
Frank Marshall,"[10329, 6488, 7305, 9036]"
Tony Scott,"[8963, 319, 9566, 2119, 744, 9798, 11654, 96, 1535, 9319, 14249, 9509, 9923, 7551, 18487, 44048, 51939]"
Terry Zwigoff,"[26564, 1548, 10147, 9786, 87065]"
Carl Franklin,"[8512, 53113, 21128, 11560, 2116, 164184, 189197]"
John McTiernan,"[1572, 9593, 562, 1669, 913, 9096, 1911, 106, 11535, 26725, 10782]"
Gregg Araki,"[13552, 1811, 35122, 33560, 11171, 13168, 46837, 157825, 200998]"
Christopher Menaul,"[259209, 49622, 119324, 330711, 11248, 180951, 332356, 26911, 124902]"
Jerry Zucker,"[6520, 251, 12151, 813, 9896, 8764]"
Dwight H. Little,"[9073, 10173, 9415, 11357, 13153, 11237, 42194]"
Iain Softley,"[10428, 12635, 45609, 167, 9913, 2309, 347754]"
Christopher Ashley,[17447]
Robert Longo,[9886]
Danny Cannon,"[9482, 28047, 3600, 24909, 9763, 30953]"
John Fortenberry,"[19326, 9429, 275771, 333127]"
Larry Clark,"[9344, 36136, 9517, 7090, 18484, 12718, 208478, 137174, 191476]"
Tom DiCillo,"[9071, 29825, 14390, 31146, 45145, 13650, 37659]"
Clive Barker,"[8973, 9003, 20481]"
Denys Arcand,"[15730, 47302, 4486, 11042, 18499, 271826]"
Antonia Bird,"[47608, 40156, 10212, 26124]"
Kevin Smith,"[2293, 2292, 2255, 1832, 2294, 9541, 2295, 10358, 23742, 48572, 246403, 87233, 290825, 323262]"
Bryan Spicer,"[9070, 14908, 10371, 150004, 201430]"
David Anspaugh,"[68274, 14534, 5693, 38982, 41209, 29078]"
Anthony Waller,"[48787, 9406, 26722]"
Michael Almereyda,"[34574, 10688, 126117, 77780, 55066, 68629, 309299, 240745]"
Irwin Winkler,"[1642, 15556, 11457, 15237, 22423, 36288, 14171]"
Chris Columbus,"[11472, 788, 771, 14367, 9441, 772, 2277, 38615, 671, 672, 2611, 1833, 19840, 32657, 257344]"
Daisy von Scherler Mayer,"[36196, 58680, 35680, 9027, 172897, 134881, 84105]"
Gregory Widen,[11980]
Norman René,"[58372, 2613, 39934]"
Todd Haynes,"[32646, 1808, 47620, 10712, 3902, 1387, 202241, 148033, 238478, 258480]"
Roland Joffé,"[10533, 625, 49981, 11416, 7093, 27461, 47821, 14125, 45054, 79698, 61294, 337747]"
Paul Verhoeven,"[10802, 402, 563, 861, 5548, 9383, 42258, 40072, 12775, 633, 21035, 29140, 9075, 140894, 337674]"
Lasse Hallström,"[18402, 1587, 8816, 1715, 392, 6440, 14336, 39233, 1947, 9681, 9903, 28178, 22971, 48336, 81025, 133458, 112949, 228194, 76846, 76047, 21394, 26111, 381289]"
Roger Donaldson,"[9348, 2087, 9619, 10083, 19380, 2669, 11973, 7520, 10164, 1647, 9912, 8848, 74998, 254904, 37582, 33310, 419192]"
James Keach,"[139408, 13162, 52338, 56085, 285689, 87343]"
Kathryn Bigelow,"[281, 11879, 1089, 8665, 13526, 9491, 36826, 12162, 97630, 70859, 407448]"
Jacques Demy,"[5967, 2433, 40641, 60773, 5590, 85942, 31551, 4269, 185949, 152797, 72898, 105572]"
Wesley Strick,[79593]
Martha Coolidge,"[47939, 14370, 18080, 32221, 27224, 19053, 83714, 11137, 28031, 10118, 54982, 43303, 85509, 59700, 18182, 55728]"
Agnieszka Holland,"[36834, 11236, 45019, 36773, 47493, 8996, 125842, 1590, 124096, 73686, 267795, 42983, 42032, 432799]"
Beeban Kidron,"[9090, 1959, 41779, 9801, 289673]"
Geoff Murphy,"[3512, 9086, 9278, 16124, 10176, 11119, 20333, 60505, 42123]"
Diane Keaton,"[52856, 10385]"
Douglas Keeve,[77350]
Alfonso Aráu,"[9560, 18183, 31774]"
Kevin Reynolds,"[9804, 8367, 6072, 20348, 15267, 11362, 10448, 9044, 335778]"
Desmond Nakano,"[31611, 17274]"
